"TAXA"	"PROJECT"	"ABUNDANCE"
"Acetobacteraceae"	"SRR059928"	0
"Cellulomonadaceae"	"SRR059928"	0
"Mycoplasmataceae"	"SRR059928"	0.02
"Clostridiaceae"	"SRR059928"	0.01
"Dermacoccaceae"	"SRR059928"	0.02
"Eubacteriaceae"	"SRR059928"	0
"Bacteroidaceae"	"SRR059928"	0
"Bifidobacteriaceae"	"SRR059928"	0
"Cardiobacteriaceae"	"SRR059928"	0
"Erythrobacteraceae"	"SRR059928"	0
"Chromatiaceae"	"SRR059928"	0
"Hydrogenophilaceae"	"SRR059928"	0
"Spirochaetaceae"	"SRR059928"	0.05
"Promicromonosporaceae"	"SRR059928"	0.09
"Akkermansiaceae"	"SRR059928"	0
"Bradyrhizobiaceae"	"SRR059928"	0
"Cytophagaceae"	"SRR059928"	0
"Methylobacteriaceae"	"SRR059928"	0
"Planococcaceae"	"SRR059928"	0
"Rikenellaceae"	"SRR059928"	0
"Intrasporangiaceae"	"SRR059928"	0
"Alcaligenaceae"	"SRR059928"	0
"Enterobacteriaceae"	"SRR059928"	0
"Sphingomonadaceae"	"SRR059928"	0
"Peptostreptococcaceae"	"SRR059928"	0.12
"Mycobacteriaceae"	"SRR059928"	0
"Sanguibacteraceae"	"SRR059928"	0.19
"Bacillaceae"	"SRR059928"	0
"Atopobiaceae"	"SRR059928"	0.37
"Comamonadaceae"	"SRR059928"	0
"Vibrionaceae"	"SRR059928"	0
"Selenomonadaceae"	"SRR059928"	0.03
"Pseudomonadaceae"	"SRR059928"	0
"Peptoniphilaceae"	"SRR059928"	0.06
"Burkholderiaceae"	"SRR059928"	0.01
"Xanthomonadaceae"	"SRR059928"	0
"Aerococcaceae"	"SRR059928"	0
"Staphylococcaceae"	"SRR059928"	0.01
"Lactobacillaceae"	"SRR059928"	0
"Erysipelotrichaceae"	"SRR059928"	1.14
"Clostridiales Family XIII. Incertae Sedis"	"SRR059928"	0.7
"Geodermatophilaceae"	"SRR059928"	0
"Leptotrichiaceae"	"SRR059928"	0.76
"Campylobacteraceae"	"SRR059928"	2.63
"Neisseriaceae"	"SRR059928"	0.12
"Porphyromonadaceae"	"SRR059928"	2.58
"Corynebacteriaceae"	"SRR059928"	0.01
"Fusobacteriaceae"	"SRR059928"	6.65
"Ruminococcaceae"	"SRR059928"	0.01
"Lachnospiraceae"	"SRR059928"	6.53
"Flavobacteriaceae"	"SRR059928"	0.44
"Actinomycetaceae"	"SRR059928"	9.1
"Pasteurellaceae"	"SRR059928"	7.5
"Micrococcaceae"	"SRR059928"	9.38
"Veillonellaceae"	"SRR059928"	18.79
"Streptococcaceae"	"SRR059928"	8.24
"Carnobacteriaceae"	"SRR059928"	0.96
"Propionibacteriaceae"	"SRR059928"	0.01
"Moraxellaceae"	"SRR059928"	0
"Prevotellaceae"	"SRR059928"	23.41
"Acetobacteraceae"	"SRR061287"	0
"Cellulomonadaceae"	"SRR061287"	0.01
"Mycoplasmataceae"	"SRR061287"	0
"Clostridiaceae"	"SRR061287"	0
"Dermacoccaceae"	"SRR061287"	0
"Eubacteriaceae"	"SRR061287"	0.02
"Bacteroidaceae"	"SRR061287"	0.03
"Bifidobacteriaceae"	"SRR061287"	0
"Cardiobacteriaceae"	"SRR061287"	0.04
"Erythrobacteraceae"	"SRR061287"	0.08
"Chromatiaceae"	"SRR061287"	0
"Hydrogenophilaceae"	"SRR061287"	0
"Spirochaetaceae"	"SRR061287"	0.07
"Promicromonosporaceae"	"SRR061287"	0.04
"Akkermansiaceae"	"SRR061287"	0
"Bradyrhizobiaceae"	"SRR061287"	0
"Cytophagaceae"	"SRR061287"	0
"Methylobacteriaceae"	"SRR061287"	0
"Planococcaceae"	"SRR061287"	0
"Rikenellaceae"	"SRR061287"	0.01
"Intrasporangiaceae"	"SRR061287"	0
"Alcaligenaceae"	"SRR061287"	0
"Enterobacteriaceae"	"SRR061287"	0
"Sphingomonadaceae"	"SRR061287"	0.05
"Peptostreptococcaceae"	"SRR061287"	0.05
"Mycobacteriaceae"	"SRR061287"	0
"Sanguibacteraceae"	"SRR061287"	0.02
"Bacillaceae"	"SRR061287"	0.01
"Atopobiaceae"	"SRR061287"	0.01
"Comamonadaceae"	"SRR061287"	0.02
"Vibrionaceae"	"SRR061287"	0
"Selenomonadaceae"	"SRR061287"	0.06
"Pseudomonadaceae"	"SRR061287"	0.03
"Peptoniphilaceae"	"SRR061287"	0.05
"Burkholderiaceae"	"SRR061287"	0.64
"Xanthomonadaceae"	"SRR061287"	0
"Aerococcaceae"	"SRR061287"	1.91
"Staphylococcaceae"	"SRR061287"	0.72
"Lactobacillaceae"	"SRR061287"	0.01
"Erysipelotrichaceae"	"SRR061287"	0.22
"Clostridiales Family XIII. Incertae Sedis"	"SRR061287"	0.06
"Geodermatophilaceae"	"SRR061287"	0
